"","Month","M","SD","Mdn","Total","Type","NoDays"
"1","All_M","317167.568627451","297334.897969819","93449.5","32351092","All","102"
"2","Jan","34341.8","12236.7823366911","39508.5","343418","All","10"
"3","Feb","49356.6551724138","21255.1486254774","41430","1431343","All","29"
"4","Mar","313234.103448276","280946.545649364","97199","9083789","All","29"
"5","Apr","634942.766666667","123610.179473041","675157","19048283","All","30"
"6","May","611064.75","47601.470708197","616659","2444259","All","4"
"7","All_M","92585.6666666667","88275.4424717926","25198.5","9443738","Org","102"
"8","Jan","7009.5","2228.55604720984","7326.5","70095","Org","10"
"9","Feb","15426.6206896552","6568.6109610882","12523","447372","Org","29"
"10","Mar","82034.3448275862","74201.6149247998","24776","2378996","Org","29"
"11","Apr","193635.5","38171.5456389379","204102","5809065","Org","30"
"12","May","184552.5","5729.39208526233","183712.5","738210","Org","4"
"13","All_M","224581.901960784","209977.549285279","70143.5","22907354","RT","102"
"14","Jan","27332.3","10362.7979924986","31788","273323","RT","10"
"15","Feb","33930.0344827586","15002.9301625734","28385","983971","RT","29"
"16","Mar","231199.75862069","207090.872959822","73164","6704793","RT","29"
"17","Apr","441307.266666667","87587.104804277","468833.5","13239218","RT","30"
"18","May","426512.25","44495.577003975","433457","1706049","RT","4"
